[DOMAIN:标签] [CAT:人物/对象] 1girl | 1个女孩
[DOMAIN:标签] [CAT:人物/性器官] no_penis | 无阴茎
[DOMAIN:标签] [CAT:人物/面部] hole_in_face | 面部孔洞
[DOMAIN:标签] [CAT:人物/面部] ears_up | 竖耳
[DOMAIN:标签] [CAT:人物/眼睛] dangling_eye | 悬垂眼
[DOMAIN:标签] [CAT:人物/身份（职业）] luchador | 蒙面摔角手
[DOMAIN:标签] [CAT:人物/身份（职业）] kshatriya | 刹帝利
[DOMAIN:标签] [CAT:人物/性器官] male_pregnancy | 男性妊娠
[DOMAIN:标签] [CAT:人物/性器官] penis_on_cheek | 面颊阴茎
[DOMAIN:标签] [CAT:人物/面部] purple_facial_hair | 紫色胡须
[DOMAIN:标签] [CAT:人物/瞳孔] mismatched_irises | 异色虹膜
[DOMAIN:标签] [CAT:人物/牙齿] cheek_tattoo | 脸颊纹身
[DOMAIN:标签] [CAT:人物/身份（职业）] metal_man | 金属人
[DOMAIN:标签] [CAT:人物/对象] newhalf_with_newhalf | 伪娘与伪娘
[DOMAIN:标签] [CAT:人物/指甲] spider_web_tattoo | 蛛网纹身
[DOMAIN:标签] [CAT:人物/对象] butterfly_girl | 蝴蝶少女
[DOMAIN:标签] [CAT:人物/胸部] black_nipples | 黑色乳首
[DOMAIN:标签] [CAT:人物/皮肤] starry_skin | 星空皮肤
[DOMAIN:标签] [CAT:人物/皮肤] pale | 苍白
[DOMAIN:标签] [CAT:人物/身材] thick_tail | 粗尾巴
[DOMAIN:标签] [CAT:人物/性器官] morning_wood | 晨勃
[DOMAIN:标签] [CAT:人物/腹部] stomach_ache | 胃痛
[DOMAIN:标签] [CAT:人物/面部] forehead_writing | 额前文字
[DOMAIN:标签] [CAT:人物/翅膀] alternate_tail | 替换尾
[DOMAIN:标签] [CAT:人物/面部] ears_under_headwear | 头饰下的耳朵
[DOMAIN:标签] [CAT:人物/指甲] skeletal_tail | 骨尾
[DOMAIN:标签] [CAT:人物/腰部] veiny_crotch | 青筋股间
[DOMAIN:标签] [CAT:人物/身份（职业）] muslim | 穆斯林
[DOMAIN:标签] [CAT:人物/身份（职业）] pawn | 兵卒
[DOMAIN:标签] [CAT:人物/身份（职业）] republic_of_korea_army | 大韩民国陆军
[DOMAIN:标签] [CAT:人物/眼睛] aqua_sclera | 水色巩膜
[DOMAIN:标签] [CAT:人物/指甲] sparse_ass_hair | 稀疏臀毛
[DOMAIN:标签] [CAT:人物/翅膀] cartoon_wings | 卡通翅膀
[DOMAIN:标签] [CAT:人物/身份（职业）] merchant | 商人
[DOMAIN:标签] [CAT:人物/身份（职业）] cleric | 牧师
[DOMAIN:标签] [CAT:人物/性器官] glowing_penis | 发光阴茎
[DOMAIN:标签] [CAT:人物/身份（职业）] step-brothers | 继兄弟
[DOMAIN:标签] [CAT:人物/指甲] brown_fingernails | 褐色指甲
[DOMAIN:标签] [CAT:人物/指甲] pink_nail_polish | 粉色指甲油
[DOMAIN:标签] [CAT:人物/身份（职业）] father_(diva) | 父亲（歌姬）
[DOMAIN:标签] [CAT:人物/身份（职业）] engineer | 工程师
[DOMAIN:标签] [CAT:人物/身份（职业）] boxer | 拳击手
[DOMAIN:标签] [CAT:人物/翅膀] wings_through_clothes | 透衣之翼
[DOMAIN:标签] [CAT:人物/身份（职业）] military_police | 宪兵
[DOMAIN:标签] [CAT:人物/身份（职业）] french_army | 法国陆军
[DOMAIN:标签] [CAT:人物/身份（职业）] playboy | 花花公子
[DOMAIN:标签] [CAT:人物/对象] chimerism | 嵌合现象
[DOMAIN:标签] [CAT:人物/对象] smeared_blood | 血迹斑驳
[DOMAIN:标签] [CAT:人物/牙齿] foam_mustache | 泡沫胡子
[DOMAIN:标签] [CAT:人物/身份（职业）] ring_fit_trainee_(female) | 健身环大冒险学员（女性）
[DOMAIN:标签] [CAT:人物/嘴巴] saliva_trail_between_teeth | 齿间唾液丝
[DOMAIN:标签] [CAT:人物/眼睛] alternate_horns | 异型角
[DOMAIN:标签] [CAT:人物/眼睛] colored_tears | 彩色眼泪
[DOMAIN:标签] [CAT:人物/身份（职业）] doctor_magus | 玛古斯博士
[DOMAIN:标签] [CAT:人物/皮肤] no_tattoo | 无纹身
[DOMAIN:标签] [CAT:人物/脸型] hangover | 宿醉
[DOMAIN:标签] [CAT:人物/对象] husband_and_wives | 丈夫与妻子们
[DOMAIN:标签] [CAT:人物/头发发型] black_ears | 黑色耳朵
[DOMAIN:标签] [CAT:人物/身份（职业）] men_in_black | 黑衣人
[DOMAIN:标签] [CAT:人物/翅膀] tailblue | 尾绀
[DOMAIN:标签] [CAT:人物/性器官] spread_nipple | 敞露乳头
[DOMAIN:标签] [CAT:人物/翅膀] camel_ears | 骆驼耳
[DOMAIN:标签] [CAT:人物/腿部] spider_legs | 蜘蛛腿
[DOMAIN:标签] [CAT:人物/身份（职业）] contest_winner | 比赛优胜者
[DOMAIN:标签] [CAT:人物/眼睛] tsurime-chan | 吊眼梢酱
[DOMAIN:标签] [CAT:人物/身份（职业）] scorpio_(zodiac) | 天蝎座（星座）
[DOMAIN:标签] [CAT:人物/身份（职业）] hostage | 人质
[DOMAIN:标签] [CAT:人物/舌头] extra_tongue | 额外舌头
[DOMAIN:标签] [CAT:人物/身份（职业）] pharaoh | 法老
[DOMAIN:标签] [CAT:人物/牙齿] blood_on_teeth | 牙齿上的血
[DOMAIN:标签] [CAT:人物/瞳孔] fish-shaped_pupils | 鱼形瞳孔
[DOMAIN:标签] [CAT:人物/面部] detached_ears | 分离耳
[DOMAIN:标签] [CAT:人物/皮肤] torn_skin | 撕裂皮肤
[DOMAIN:标签] [CAT:人物/对象] chest_fur | 胸毛
[DOMAIN:标签] [CAT:人物/身份（职业）] mecha_danshi | 机械男子
[DOMAIN:标签] [CAT:人物/身份（职业）] summoner | 召唤师
[DOMAIN:标签] [CAT:人物/身份（职业）] umpire | 裁判员
[DOMAIN:标签] [CAT:人物/对象] plant_boy | 植物少年
[DOMAIN:标签] [CAT:人物/头发发型] hair_behind_eyewear | 眼镜后发
[DOMAIN:标签] [CAT:人物/身份（职业）] finnish_army | 芬兰陆军
[DOMAIN:标签] [CAT:人物/腿部] no_toes | 无脚趾
[DOMAIN:标签] [CAT:人物/眼睛] square_tattoo | 方形纹身
[DOMAIN:标签] [CAT:人物/身份（职业）] joy_(pokemon)_(cosplay) | 乔伊（宝可梦）（角色扮演）
[DOMAIN:标签] [CAT:人物/头发发型] green_streaks | 绿色挑染
[DOMAIN:标签] [CAT:人物/腿部] robotic_legs | 机械腿
[DOMAIN:标签] [CAT:人物/对象] chinchilla_tail | 龙猫尾巴
[DOMAIN:标签] [CAT:人物/对象] gazelle_tail | 羚羊尾巴
[DOMAIN:标签] [CAT:人物/皮肤] bite_mark_on_ass | 臀上牙印
[DOMAIN:标签] [CAT:人物/牙齿] blood_on_mask | 面具带血
[DOMAIN:标签] [CAT:人物/眉毛] eyebrows_visible_through_mask | 透罩可见眉
[DOMAIN:标签] [CAT:人物/瞳孔] lightning_bolt-shaped_pupils | 闪电状瞳孔
[DOMAIN:标签] [CAT:人物/身份（职业）] hilda_(pokemon)_(cosplay) | 小优（宝可梦）（角色扮演）
[DOMAIN:标签] [CAT:人物/身份（职业）] koakuma_(cosplay) | 小恶魔（角色扮演）
[DOMAIN:标签] [CAT:人物/肩部] snake_on_shoulder | 肩缠蛇
[DOMAIN:标签] [CAT:人物/鼻子] animal_ear_request | 兽耳请求
[DOMAIN:标签] [CAT:人物/身份（职业）] mayan | 玛雅人
[DOMAIN:标签] [CAT:人物/对象] moose_girl | 驼鹿少女
[DOMAIN:标签] [CAT:人物/面部] lemur_ears | 狐猴耳
[DOMAIN:标签] [CAT:人物/眼睛] curved_horns | 弯曲角
[DOMAIN:标签] [CAT:人物/胸部] glowing_nipples | 发光乳头
[DOMAIN:标签] [CAT:人物/面部] glitter_makeup | 闪粉妆容
[DOMAIN:标签] [CAT:人物/头发发型] thick_ass_hair | 浓密臀发
[DOMAIN:标签] [CAT:人物/身份（职业）] biblically_accurate_angel | 符合圣经描述的天使
[DOMAIN:标签] [CAT:人物/身份（职业）] assassin | 刺客
[DOMAIN:标签] [CAT:人物/皮肤] pale-skinned_female | 浅肤色女性
[DOMAIN:标签] [CAT:人物/身份（职业）] kaban_(kemono_friends)_(cosplay) | 小鞄（兽娘动物园）（角色扮演）
[DOMAIN:标签] [CAT:人物/对象] disembodied_torso | 无身躯干
[DOMAIN:标签] [CAT:人物/身份（职业）] mars_people | 火星人
[DOMAIN:标签] [CAT:人物/身份（职业）] monkey_d._luffy_(cosplay) | 蒙奇·D·路飞（Cosplay）
[DOMAIN:标签] [CAT:人物/牙齿] broken_teeth | 碎牙
[DOMAIN:标签] [CAT:人物/头发发型] braided_tail | 编辫尾巴
[DOMAIN:标签] [CAT:人物/面部] brown_facial_hair | 棕色胡须
[DOMAIN:标签] [CAT:人物/眼睛] translucent_horns | 半透明角
[DOMAIN:标签] [CAT:人物/面部] scar_on_ear | 耳部疤痕
[DOMAIN:标签] [CAT:人物/牙齿] heart_cheeks | 爱心脸颊
[DOMAIN:标签] [CAT:人物/对象] purple_hands | 紫手
[DOMAIN:标签] [CAT:人物/眼睛] partially_blind | 半盲
[DOMAIN:标签] [CAT:人物/指甲] yellow_fingernails | 黄色指甲
[DOMAIN:标签] [CAT:人物/嘴巴] shiny_lips | 闪亮嘴唇
[DOMAIN:标签] [CAT:人物/身份（职业）] priest_(dq3)_(cosplay) | 僧侣（勇者斗恶龙3）（COSPLAY）
[DOMAIN:标签] [CAT:人物/身份（职业）] brazilian | 巴西的
[DOMAIN:标签] [CAT:人物/性器官] back_fin | 背鳍
[DOMAIN:标签] [CAT:人物/性器官] testicle_hair | 睾丸毛发
[DOMAIN:标签] [CAT:人物/眼睛] red_eyelashes | 红色睫毛
[DOMAIN:标签] [CAT:人物/身份（职业）] nymph | 宁芙
[DOMAIN:标签] [CAT:人物/身份（职业）] majorette | 军乐队指挥
[DOMAIN:标签] [CAT:人物/皮肤] translucent_skin | 半透明皮肤
[DOMAIN:标签] [CAT:人物/肩部] scapular | 肩胛骨
[DOMAIN:标签] [CAT:人物/头发发型] curly_(mouthwashing) | 卷毛（漱口）
[DOMAIN:标签] [CAT:人物/皮肤] scar_on_ass | 臀部疤痕
[DOMAIN:标签] [CAT:人物/面部] covered_eye | 遮眼
[DOMAIN:标签] [CAT:人物/身份（职业）] dancer_(sekaiju) | 舞者（世界树）
[DOMAIN:标签] [CAT:人物/对象] blonde_girl_(itou) | 金发女孩（伊藤）
[DOMAIN:标签] [CAT:人物/嘴巴] bifurcated_jaw | 分叉颌
[DOMAIN:标签] [CAT:人物/性器官] throbbing_pussy | 悸动阴户
[DOMAIN:标签] [CAT:人物/面部] scar_on_head | 头部伤疤
[DOMAIN:标签] [CAT:人物/身份（职业）] spirits | 精灵
[DOMAIN:标签] [CAT:人物/身份（职业）] sexfriend | 性伴侣
[DOMAIN:标签] [CAT:人物/嘴巴] saliva_pool | 唾液池
[DOMAIN:标签] [CAT:人物/指甲] long_finger | 长手指
[DOMAIN:标签] [CAT:人物/身份（职业）] russian_army | 俄罗斯军队
[DOMAIN:标签] [CAT:人物/鼻子] triangle_nose | 三角鼻
[DOMAIN:标签] [CAT:人物/身份（职业）] machinist_(final_fantasy) | 机工士（最终幻想）
[DOMAIN:标签] [CAT:人物/皮肤] brown_scales | 棕鳞
[DOMAIN:标签] [CAT:人物/指甲] missing_finger | 缺指
[DOMAIN:标签] [CAT:人物/对象] ippan_josei | 一般女性
[DOMAIN:标签] [CAT:人物/眼睛] sclera_(asteroid_ill) | 巩膜（小行星病）
[DOMAIN:标签] [CAT:人物/对象] blood_type | 血型
[DOMAIN:标签] [CAT:人物/眼睛] slave_tattoo | 奴隶纹身
[DOMAIN:标签] [CAT:人物/脸型] split_head | 分裂头部
[DOMAIN:标签] [CAT:人物/对象] bb | 宝宝
[DOMAIN:标签] [CAT:人物/身份（职业）] booth_babe | 展台女郎
[DOMAIN:标签] [CAT:人物/身份（职业）] son_goku_(cosplay) | 孙悟空（Cosplay）
[DOMAIN:标签] [CAT:人物/性器官] blue_penis | 蓝色阴茎
[DOMAIN:标签] [CAT:人物/性器官] no_genitals | 无生殖器
[DOMAIN:标签] [CAT:人物/身份（职业）] swat | 特警
[DOMAIN:标签] [CAT:人物/年龄] pure_girl | 纯真少女
[DOMAIN:标签] [CAT:人物/胸部] grey_nipples | 灰乳头
[DOMAIN:标签] [CAT:人物/腿部] lemur_tail | 狐猴尾巴
[DOMAIN:标签] [CAT:人物/性器官] penis_in_thighhigh | 大腿袜：长筒袜：过膝袜中的阴茎
[DOMAIN:标签] [CAT:人物/对象] twoearle | 双耳族
[DOMAIN:标签] [CAT:人物/身份（职业）] moth_boy | 蛾少年
[DOMAIN:标签] [CAT:人物/性器官] steamy_pussy | 蒸汽阴部
[DOMAIN:标签] [CAT:人物/皮肤] glowing_veins | 发光血管
[DOMAIN:标签] [CAT:人物/身份（职业）] people's_liberation_army_air_force | 中国人民解放军空军
[DOMAIN:标签] [CAT:人物/身份（职业）] bowsette_(cosplay) | 库巴姬（角色扮演）
[DOMAIN:标签] [CAT:人物/腿部] bare_thighs | 裸腿
[DOMAIN:标签] [CAT:人物/头发发型] ribbon_hair | 缎带发
[DOMAIN:标签] [CAT:人物/翅膀] artificial_wings | 人造羽翼
[DOMAIN:标签] [CAT:人物/身份（职业）] half-brothers | 同母异父兄弟
[DOMAIN:标签] [CAT:人物/对象] cool_doji_danshi | 酷道寺男子
[DOMAIN:标签] [CAT:人物/面部] feather_fingers | 羽指
[DOMAIN:标签] [CAT:人物/身份（职业）] shaman | 萨满
[DOMAIN:标签] [CAT:人物/眼睛] eye_glitter | 闪粉眼妆
[DOMAIN:标签] [CAT:人物/身份（职业）] mythological_creature | 神话生物
[DOMAIN:标签] [CAT:人物/身份（职业）] cavewoman | 穴居女子
[DOMAIN:标签] [CAT:人物/眉毛] blonde_eyebrows | 金色眉毛
[DOMAIN:标签] [CAT:人物/胸部] kyonyuu_fantasy | 巨乳幻想
[DOMAIN:标签] [CAT:人物/嘴巴] stomach_mouth | 腹口
[DOMAIN:标签] [CAT:人物/身份（职业）] phantom_thief_(kkmomo67) | 怪盗（KKMOMO67）
[DOMAIN:标签] [CAT:人物/身份（职业）] demon_king_(in) | 魔王（in）
[DOMAIN:标签] [CAT:人物/指甲] stitched_fingers | 缝合手指
[DOMAIN:标签] [CAT:人物/头发发型] twindrills | 双螺旋钻
[DOMAIN:标签] [CAT:人物/牙齿] bandaged_eye | 绷带眼
[DOMAIN:标签] [CAT:人物/指甲] bite_mark_on_leg | 腿上的咬痕
[DOMAIN:标签] [CAT:人物/身份（职业）] landsknecht | 雇佣步兵
[DOMAIN:标签] [CAT:人物/身份（职业）] homeless | 无家可归者
[DOMAIN:标签] [CAT:人物/面部] colored_mouth | 彩唇
[DOMAIN:标签] [CAT:人物/腿部] goat_legs | 山羊腿
[DOMAIN:标签] [CAT:人物/指甲] purple_nail_polish | 紫色指甲油
[DOMAIN:标签] [CAT:人物/面部] handlebar_mustache | 翘八字胡
[DOMAIN:标签] [CAT:人物/对象] giant_skeleton | 巨型骷髅
[DOMAIN:标签] [CAT:人物/身材] cellulite | 脂肪团
[DOMAIN:标签] [CAT:人物/身份（职业）] takao_(kancolle)_(cosplay) | 高雄（舰队Collection）（角色扮演）
[DOMAIN:标签] [CAT:人物/皮肤] blood_on_back | 背部血迹
[DOMAIN:标签] [CAT:人物/身份（职业）] elevator_operator | 电梯操作员
[DOMAIN:标签] [CAT:人物/头发发型] triple_bun | 三髻团
[DOMAIN:标签] [CAT:人物/面部] grey_facial_hair | 灰色胡须
[DOMAIN:标签] [CAT:人物/指甲] foot_hair | 足部毛发
[DOMAIN:标签] [CAT:人物/身份（职业）] musketeer | 火枪手
[DOMAIN:标签] [CAT:人物/胸部] oppai_baka | 胸痴
[DOMAIN:标签] [CAT:人物/面部] dimple | 酒窝
[DOMAIN:标签] [CAT:人物/对象] backward_facing_horns | 后弯角
[DOMAIN:标签] [CAT:人物/对象] jackal_girl | 胡狼少女
[DOMAIN:标签] [CAT:人物/身份（职业）] shepherd | 牧羊人
[DOMAIN:标签] [CAT:人物/身份（职业）] choir | 合唱团
[DOMAIN:标签] [CAT:人物/头发发型] colored_bangs | 彩色刘海
[DOMAIN:标签] [CAT:人物/身份（职业）] double_gyaru_v | 双辣妹V
[DOMAIN:标签] [CAT:人物/身份（职业）] nanji_yuan_zhumin | 南极原住民
[DOMAIN:标签] [CAT:人物/皮肤] elbow_blush | 肘部红晕
[DOMAIN:标签] [CAT:人物/胸部] twisted_breasts | 扭曲双乳
[DOMAIN:标签] [CAT:人物/翅膀] heart_wings | 心之翼
[DOMAIN:标签] [CAT:人物/身份（职业）] sakata_gintoki_(cosplay) | 坂田银时（角色扮演）
[DOMAIN:标签] [CAT:人物/翅膀] pangolin_ears | 穿山甲耳
[DOMAIN:标签] [CAT:人物/牙齿] drawing_on_own_face | 臉部彩繪
[DOMAIN:标签] [CAT:人物/身份（职业）] mickey_mouse_(cosplay) | 米老鼠（角色扮演）
[DOMAIN:标签] [CAT:人物/性器官] penis_on_shoulder | 肩部阴茎
[DOMAIN:标签] [CAT:人物/身份（职业）] actor | 演员
[DOMAIN:标签] [CAT:人物/面部] hand_mark | 手部印记
[DOMAIN:标签] [CAT:人物/面部] l_hand | L手
[DOMAIN:标签] [CAT:人物/身份（职业）] librarian | 图书管理员
[DOMAIN:标签] [CAT:人物/指甲] bruise_on_neck | 颈部淤青
[DOMAIN:标签] [CAT:人物/翅膀] porcupine_ears | 豪猪耳
[DOMAIN:标签] [CAT:人物/身份（职业）] ronin | 浪人
[DOMAIN:标签] [CAT:人物/对象] arnold_schwarzenegger | 阿诺德·施瓦辛格
[DOMAIN:标签] [CAT:人物/身份（职业）] pictomancer_(final_fantasy) | 绘法师（最终幻想）
[DOMAIN:标签] [CAT:人物/眼睛] liquid_from_eyes | 眼中液体
[DOMAIN:标签] [CAT:人物/面部] clawed_hands | 爪形手
[DOMAIN:标签] [CAT:人物/翅膀] bound_wings | 缚翼
[DOMAIN:标签] [CAT:人物/皮肤] scar_on_hip | 髋部疤痕
[DOMAIN:标签] [CAT:人物/对象] mirror_twins | 镜像双胞胎
[DOMAIN:标签] [CAT:人物/身份（职业）] kryptonian | 氪星人
[DOMAIN:标签] [CAT:人物/胸部] oppai_oppai | 欧派欧派
[DOMAIN:标签] [CAT:人物/眼睛] cat's_eye | 猫眼
[DOMAIN:标签] [CAT:人物/皮肤] stretch_marks | 伸展紋
[DOMAIN:标签] [CAT:人物/身材] alternate_ass_size | 可选臀部尺寸
[DOMAIN:标签] [CAT:人物/胸部] cup_size | 罩杯尺寸
[DOMAIN:标签] [CAT:人物/鼻子] blue_nose | 蓝鼻子
[DOMAIN:标签] [CAT:人物/头发发型] very_long_sidelocks | 超长侧发
[DOMAIN:标签] [CAT:人物/翅膀] phoenix_wings | 凤凰之翼
[DOMAIN:标签] [CAT:人物/指甲] no_fingers | 无手指
[DOMAIN:标签] [CAT:人物/指甲] nobiiru_arm | 诺比尔臂
[DOMAIN:标签] [CAT:人物/性器官] purple_pussy | 紫色阴部
[DOMAIN:标签] [CAT:人物/皮肤] orange_scales | 橙色鳞片
[DOMAIN:标签] [CAT:人物/头发发型] paint_in_hair | 发间颜料
[DOMAIN:标签] [CAT:人物/面部] transparent_hand | 透明手
[DOMAIN:标签] [CAT:人物/翅膀] alternate_wing_color | 异色翅膀
[DOMAIN:标签] [CAT:人物/脸型] pig_snout | 猪鼻
[DOMAIN:标签] [CAT:人物/眼睛] one_eye_in_shadow | 影中独眼
[DOMAIN:标签] [CAT:人物/肩部] blood_on_shoulder | 肩部血迹
[DOMAIN:标签] [CAT:人物/身份（职业）] the_milkmaid | 挤奶女工
[DOMAIN:标签] [CAT:人物/头发发型] split_tail | 分叉尾
[DOMAIN:标签] [CAT:人物/指甲] thigh_marking | 大腿标记
[DOMAIN:标签] [CAT:人物/面部] possum_ears | 负鼠耳朵
[DOMAIN:标签] [CAT:人物/对象] blonde_girl_(okpriko) | 金发女孩（OKPriko作品）
[DOMAIN:标签] [CAT:人物/对象] turian | 突锐人
[DOMAIN:标签] [CAT:人物/面部] white_beard | 白胡子
[DOMAIN:标签] [CAT:人物/头发发型] maroon_hair | 褐红色头发
[DOMAIN:标签] [CAT:人物/嘴巴] lip_fang | 唇边尖牙
[DOMAIN:标签] [CAT:人物/对象] ice_man | 冰人
[DOMAIN:标签] [CAT:人物/眉毛] medium_eyebrows | 中等粗细眉毛
[DOMAIN:标签] [CAT:人物/眉毛] pink_eyebrows | 粉色眉毛
[DOMAIN:标签] [CAT:人物/翅膀] folded_wings | 折叠翅膀
[DOMAIN:标签] [CAT:人物/腿部] censored_feet | 审查脚部
[DOMAIN:标签] [CAT:人物/牙齿] dentures | 假牙
[DOMAIN:标签] [CAT:人物/胸部] breast_on_breast | 胸叠胸
[DOMAIN:标签] [CAT:人物/腿部] badger_tail | 獾尾
[DOMAIN:标签] [CAT:人物/指甲] finger_claws | 指爪
[DOMAIN:标签] [CAT:人物/身份（职业）] bad_end_beauty | 坏结局美人
[DOMAIN:标签] [CAT:人物/身份（职业）] heroine | 女主角
[DOMAIN:标签] [CAT:人物/面部] single_hand | 单手
[DOMAIN:标签] [CAT:人物/鼻子] raccoon_nose | 浣熊鼻
[DOMAIN:标签] [CAT:人物/对象] paper_man | 纸片人
[DOMAIN:标签] [CAT:人物/身材] inconvenient_ass | 碍事屁股
[DOMAIN:标签] [CAT:人物/面部] mole_on_ear | 耳部痣
[DOMAIN:标签] [CAT:人物/对象] elephant_girl | 象娘
[DOMAIN:标签] [CAT:人物/牙齿] missing_teeth | 缺齿
[DOMAIN:标签] [CAT:人物/身份（职业）] artist_painter | 画家
[DOMAIN:标签] [CAT:人物/身份（职业）] internet_survivor | 网络幸存者
[DOMAIN:标签] [CAT:人物/身份（职业）] legionnaire | 军团士兵
[DOMAIN:标签] [CAT:人物/身份（职业）] shaolin_monk | 少林武僧
[DOMAIN:标签] [CAT:人物/胸部] boin | 爆乳
[DOMAIN:标签] [CAT:人物/眼睛] red_eyes_(e.g.o) | 红眼（自我）
[DOMAIN:标签] [CAT:人物/身份（职业）] platelet_(hataraku_saibou)_(cosplay) | 血小板（工作细胞）（cosplay）
[DOMAIN:标签] [CAT:人物/胸部] veiny_pectorals | 青筋胸肌
[DOMAIN:标签] [CAT:人物/身份（职业）] knight_servant | 骑士侍从
[DOMAIN:标签] [CAT:人物/舌头] barbed_tongue | 倒刺舌
[DOMAIN:标签] [CAT:人物/皮肤] strangulation_mark | 勒痕
[DOMAIN:标签] [CAT:人物/身份（职业）] clownpiece_(cosplay) | 小丑碎片（角色扮演）
[DOMAIN:标签] [CAT:人物/性器官] penis_growth | 阴茎增大
[DOMAIN:标签] [CAT:人物/性器官] circumcision_scar | 割礼疤痕
[DOMAIN:标签] [CAT:人物/腿部] dolphin_tail | 海豚尾
[DOMAIN:标签] [CAT:人物/对象] eel_girl | 鳗鱼女孩
[DOMAIN:标签] [CAT:人物/面部] mole_beside_mouth | 嘴角痣
[DOMAIN:标签] [CAT:人物/眼睛] mangekyou_sharingan | 万花筒写轮眼
[DOMAIN:标签] [CAT:人物/身份（职业）] pleiadean | 昴宿星人
[DOMAIN:标签] [CAT:人物/身份（职业）] gamer_girl | 游戏少女
[DOMAIN:标签] [CAT:人物/对象] neuroi_girl | 神经怪女孩
[DOMAIN:标签] [CAT:人物/眼睛] single_empty_eye | 单侧空眼
[DOMAIN:标签] [CAT:人物/嘴巴] big_mouth | 大嘴
[DOMAIN:标签] [CAT:人物/腹部] whipped | 鞭打痕迹
[DOMAIN:标签] [CAT:人物/面部] no_freckles | 无雀斑
[DOMAIN:标签] [CAT:人物/胸部] booba_(meme) | 波霸（网络迷因）
[DOMAIN:标签] [CAT:人物/眉毛] brown_eyebrows | 棕眉
[DOMAIN:标签] [CAT:人物/身份（职业）] cure_sunshine_(cosplay) | Cure Sunshine（角色扮演）
[DOMAIN:标签] [CAT:人物/性器官] penis_in_pantyhose | 连裤袜中的阴茎
[DOMAIN:标签] [CAT:人物/眼睛] matching_hair/eyes | 发瞳同色
[DOMAIN:标签] [CAT:人物/腹部] pregnancy_mark | 孕纹
[DOMAIN:标签] [CAT:人物/身份（职业）] janitor | 保洁员
[DOMAIN:标签] [CAT:人物/对象] mecha_on_girl | 机械少女
[DOMAIN:标签] [CAT:人物/腿部] red_feet | 红足
[DOMAIN:标签] [CAT:人物/头发发型] rattail | 鼠尾辫
[DOMAIN:标签] [CAT:人物/身份（职业）] servant | 从者
[DOMAIN:标签] [CAT:人物/舌头] tentacle_tongue | 触手舌
[DOMAIN:标签] [CAT:人物/头发发型] untying_hair | 散发
[DOMAIN:标签] [CAT:人物/眼睛] blue_tattoo | 蓝色纹身
[DOMAIN:标签] [CAT:人物/头发发型] stray_hair | 碎发
[DOMAIN:标签] [CAT:人物/胸部] single_inverted_nipple | 单侧内陷乳头
[DOMAIN:标签] [CAT:人物/身份（职业）] batman_(cosplay) | 蝙蝠侠（角色扮演）
[DOMAIN:标签] [CAT:人物/身份（职业）] major | 少校
[DOMAIN:标签] [CAT:人物/舌头] multiple_tongues | 多重舌头
[DOMAIN:标签] [CAT:人物/指甲] multiple_tattoos | 多重纹身
[DOMAIN:标签] [CAT:人物/身份（职业）] shantae_(cosplay) | 桑塔（Cosplay）
[DOMAIN:标签] [CAT:人物/头发发型] metal_hair | 金属发
[DOMAIN:标签] [CAT:人物/面部] glowing_ears | 发光耳
[DOMAIN:标签] [CAT:人物/肩部] lipstick_mark_on_shoulder | 肩上唇印
[DOMAIN:标签] [CAT:人物/指甲] pubic_tattoo_through_clothing | 透衣阴部纹身
[DOMAIN:标签] [CAT:人物/指甲] crescent_tattoo | 新月纹身
[DOMAIN:标签] [CAT:人物/指甲] toe_claws | 趾爪
[DOMAIN:标签] [CAT:人物/身份（职业）] shy_gal | 害羞女孩
[DOMAIN:标签] [CAT:人物/对象] sexual_dimorphism | 性别二态性
[DOMAIN:标签] [CAT:人物/嘴巴] underbite | 下颌前突
[DOMAIN:标签] [CAT:人物/身份（职业）] commissar | 政委
[DOMAIN:标签] [CAT:人物/身份（职业）] actress | 女演员
[DOMAIN:标签] [CAT:人物/身份（职业）] char_aznable_(cosplay) | 夏亚·阿兹纳布尔（角色扮演）
[DOMAIN:标签] [CAT:人物/性器官] penis_tattoo | 阴茎纹身
[DOMAIN:标签] [CAT:人物/身份（职业）] toramaru_shou_(cosplay) | 虎丸翔（Cosplay）
[DOMAIN:标签] [CAT:人物/指甲] glowing_nails | 发光指甲
[DOMAIN:标签] [CAT:人物/牙齿] contact_lens | 隐形眼镜
[DOMAIN:标签] [CAT:人物/面部] disembodied_mouth | 悬浮之口
[DOMAIN:标签] [CAT:人物/身份（职业）] surgeon | 外科医生
[DOMAIN:标签] [CAT:人物/身份（职业）] mime | 默剧
[DOMAIN:标签] [CAT:人物/对象] head_tail | 头尾
[DOMAIN:标签] [CAT:人物/头发发型] nape_braid | 颈后辫
[DOMAIN:标签] [CAT:人物/身份（职业）] office_lady_taiwan | 台湾办公室女郎
[DOMAIN:标签] [CAT:人物/对象] hairy_armpits | 腋毛
[DOMAIN:标签] [CAT:人物/脸型] large_forehead | 宽额头
[DOMAIN:标签] [CAT:人物/身份（职业）] joshi_shougakusei_hajimemashita | 女子小学生开始了
[DOMAIN:标签] [CAT:人物/身份（职业）] pokemon_breeder_(pokemon) | 宝可梦培育家（宝可梦）
[DOMAIN:标签] [CAT:人物/身份（职业）] hippie | 嬉皮士
